股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
600178	东安动力	6.11	-1.77	0.86	36.15	1.15	汽车零部件	[]	0	2023-03-28	0	0	0.512	--	--
600179	安通控股	3.11	-1.58	0.67	6.93	2.04	物流	[]	0	2023-04-18	0	0	0	--	--
600180	瑞茂通	7.07	+6.80	6.99	19.20	0.97	物流	[]	0	2023-04-27	0	0	1.33	--	--
600182	S*ST佳通	14.35	-0.97	0.55	85.48	4.55	轮胎	[]	0	2023-04-29	0	0	0.35	--	--
600183	生益科技	15.43	-0.39	0.63	27.83	2.60	印制电路板	['全国社保基金一零六组合', '国泰基金管理有限公司－社保基金1102组合']	2	2023-03-29	0	0	4.5	--	--
600184	光电股份	12.12	-1.14	0.56	107.33	2.46	地面兵装	[]	0	2023-04-21	0	0	0.57	--	--
600185	格力地产	8.04	+1.01	1.46	--	2.39	房地产开发	[]	0	2023-04-22	0	0	0	--	--
600186	莲花健康	2.90	+0.35	1.19	99.09	3.66	调味发酵品	[]	0	2023-03-31	0	0	0	--	--
600187	国中水务	2.60	-1.52	1.36	--	1.33	水务	[]	0	2023-04-29	0	0	0	--	--
600188	兖矿能源	33.72	-0.35	0.54	5.61	1.92	煤炭开采	['全国社保基金四一六组合', '全国社保基金一一七组合', '汇添富基金管理股份有限公司－社保基金16032组合', '全国社保基金六零一组合']	4	2023-03-25	5	0	30.7	--	--
600189	泉阳泉	6.13	+0.66	0.75	91.55	2.69	软饮料	[]	0	2023-04-29	0	0	0	--	--
600190	锦州港	3.46	-0.57	1.68	64.34	1.04	港口	[]	0	2023-04-28	0	0	0	--	--
600191	华资实业	5.97	-1.16	0.99	--	1.89	其他农产品加工	[]	0	2023-04-28	0	0	0	--	--
600192	长城电工	5.20	0.00	0.90	--	1.48	中压设备	[]	0	2023-04-18	0	0	0	--	--
600193	创兴资源	5.49	-0.90	0.43	--	7.29	装修装饰	[]	0	2023-04-20	0	0	0	--	--
600195	中牧股份	12.62	-2.32	1.20	23.16	2.37	动物保健	['全国社保基金五零二组合']	1	2023-04-22	0	0	1.8	--	--
600196	复星医药	31.92	-2.18	0.68	20.02	1.88	生物制品	['全国社保基金一一三组合']	1	2023-03-28	0	0	4.2	--	--
600197	伊力特	27.42	+3.01	3.53	62.97	3.44	白酒	[]	0	2023-04-28	0	0	4.1	--	--
600198	大唐电信	6.55	-1.06	1.25	641.19	20.23	集成电路	[]	0	2023-04-28	0	0	0	--	--
