股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
300127	银河磁体	16.74	+0.30	1.84	29.25	3.73	磁性材料	[]	0	2023-03-30	0	0	4	--	--
300128	锦富技术	3.55	-3.01	1.52	--	6.43	显示器件	[]	0	2023-04-29	0	0	0	--	--
300131	英唐智控	5.14	-1.53	1.89	112.79	3.06	电子零部件制造	[]	0	2023-04-22	0	0	0	--	--
300132	青松股份	5.90	+1.72	2.86	--	2.29	其他化学制品	[]	0	2023-04-27	0	0	0	--	--
300133	华策影视	8.09	-8.59	7.16	35.30	2.22	影视动漫	[]	0	2023-04-26	0	0	0.22	--	--
300134	大富科技	8.86	-1.34	1.17	67.05	1.49	通信传输设备	[]	0	2023-04-25	0	0	0	--	--
300135	宝利国际	2.59	-0.77	1.08	--	2.40	石油加工	[]	0	2023-04-26	0	0	0	--	--
300136	信维通信	18.24	-2.62	1.89	26.24	2.62	电子零部件制造	['全国社保基金一零三组合']	1	2023-04-28	0	0	0.5	--	--
300137	先河环保	5.81	-0.85	0.71	--	1.66	环保工程及服务	[]	0	2023-04-26	0	0	0	--	--
300138	晨光生物	18.46	-0.75	0.87	21.28	2.97	其他农产品加工	[]	0	2023-03-28	0	0	1.6	--	--
300139	晓程科技	10.08	+0.80	12.08	--	2.74	集成电路	[]	0	2023-04-25	0	0	0	--	--
300140	中环装备	8.98	+8.19	8.93	--	2.89	环保工程及服务	[]	0	2023-04-26	0	0	0	--	--
300141	和顺电气	8.86	+0.11	1.49	--	3.41	储能设备	[]	0	2023-04-24	0	0	0	--	--
300142	沃森生物	30.48	-3.21	1.23	56.83	5.29	生物制品	[]	0	2023-05-05	0	0	0.1	2023-05-11	2023-05-10
300143	盈康生命	12.02	-1.64	1.72	--	5.86	医疗服务	[]	0	2023-03-30	0	0	0	--	--
300144	宋城演艺	13.51	-1.60	2.37	325.42	4.63	人工景点	[]	0	2023-04-28	0	0	0.5	--	--
300146	汤臣倍健	23.53	-1.75	1.23	22.83	3.43	食品综合	[]	0	2023-04-17	0	0	1.8	2023-04-21	2023-04-20
300147	香雪制药	5.69	-1.73	2.36	--	1.56	中药	[]	0	2023-04-22	0	0	0	--	--
300148	天舟文化	6.88	-3.78	15.73	--	5.49	移动互联网服务	[]	0	2023-04-24	0	0	0	--	--
300149	睿智医药	8.60	-2.05	1.07	12.62	1.85	医疗服务	[]	0	2023-04-27	0	0	0	--	--
300150	世纪瑞尔	4.47	+2.52	5.92	--	1.72	IT服务	[]	0	2023-04-21	0	0	0	--	--
300151	昌红科技	16.87	-1.40	1.80	74.05	6.83	机械设备	['全国社保基金一零八组合', '全国社保基金五零一组合']	2	2023-04-25	0	0	2	--	--
300152	新动力	3.03	+0.33	1.36	--	5.44	环保工程及服务	[]	0	2023-03-22	0	0	0	--	--
300153	科泰电源	8.60	-12.78	13.27	88.55	3.42	其它电源设备	[]	0	2023-04-18	0	0	0	--	--
300154	瑞凌股份	7.10	-1.53	4.45	30.44	1.91	其它通用机械	[]	0	2023-04-18	0	0	1.5	--	--
300155	安居宝	4.79	-0.21	1.06	--	1.99	计算机设备	[]	0	2023-04-27	0	0	0	--	--
300157	恒泰艾普	3.37	-1.75	1.43	--	191.08	油气钻采服务	[]	0	2023-03-31	0	0	0	--	--
300158	振东制药	6.02	-2.90	1.98	--	1.18	化学制剂	[]	0	2023-04-25	0	0	0	--	--
300159	ST新研	2.92	-1.68	1.60	88.98	45.56	航空装备	[]	0	2023-04-26	0	0	0	--	--
300160	秀强股份	6.73	-1.46	1.09	27.80	2.24	家电零部件	[]	0	2023-04-12	0	0	1	--	--
300161	华中数控	37.00	-5.32	6.24	362.16	4.57	机床工具	[]	0	2023-04-19	0	0	0.2	--	--
300162	雷曼光电	6.51	-0.15	1.50	106.87	3.39	LED	[]	0	2023-04-24	0	0	0	--	--
300163	先锋新材	3.29	+0.61	1.75	--	2.65	其他化学制品	[]	0	2023-04-24	0	0	0	--	--
300164	通源石油	4.42	-0.45	3.03	70.48	2.07	油气钻采服务	[]	0	2023-04-22	0	0	0	--	--
300165	天瑞仪器	4.96	+5.76	9.54	--	1.63	仪器仪表	[]	0	2023-04-27	0	0	0	--	--
300166	东方国信	11.77	+3.43	10.10	--	2.07	IT服务	[]	0	2023-04-27	0	0	0	--	--
300167	ST迪威迅	3.59	+1.99	9.55	--	32.39	IT服务	[]	0	2023-04-27	0	0	0	--	--
